ASTAP/CCDCIEL DEEPSKY DATABASE (extract from HNSKY database), 30000 objects. Based on SAC81, Wolfgang Steinicke's REV NGC&IC, Leda, Sh2,vdB,HCG,LND,PK.DWB, Barnard's DN. GX>=1_arcmin. IAU named stars included. GC of M31, M33 added. Version 2024-05-17.
RA[0..864000], DEC[-324000..324000], name(s), length [0.1 min], width[0.1 min], orientation[degrees]
587318,-208439,NGC6087,150
614872,-136396,NGC6281,80
646160,-68442,M23/NGC6494,250
525308,-203986,NGC5662,300
632822,-117294,NGC6383/NGC6374,200
235140,17940,Rosette_Nebula/NGC2237/NGC2238,800,500
386340,-214380,Tr14/Cr230,50
211383,117191,M37/NGC2099,150
508560,-173880,NGC5460,350
583909,-195188,NGC6067,150
846073,176883,NGC7686,150
63420,258540,Cr463,360
226800,85080,Cr89,350
56319,110369,M33/NGC598/Pinwheel_Galaxy,687,416,23
551138,7500,M5/NGC5904,230
638599,-116500,NGC6416,150
70550,136200,NGC752,750
678650,-22572,M11/NGC6705/Wild_Duck_Cluster,110
601015,131259,M13/NGC6205/Hercules_Cluster,200
296231,-20702,M48/NGC2548,300
283300,-138708,NGC2477,200
591172,-146401,NGC6124,400
107580,217440,Cr33,400
650533,-81000,M21/NGC6531,160
253678,-30153,M50/NGC2323,150
221043,50273,NGC2169,60
495967,-226474,NGC5281,80
610760,-165372,NGC6250,160
308760,-159720,Pismis4,180
94140,201300,Tr2/Cr29,200
659250,-49674,M16/NGC6611/Eagle_Nebula,80
660470,-58218,M17/NGC6618/Omega_Nebula/Sh2-45,200,150
201777,122907,M36/NGC1960,100
247052,1653,NGC2301,150
372820,-186222,NGC3228,50
500400,-222660,NGC5316,150
623057,-154562,NGC6322,50
657840,-54000,NGC6605,290
640860,4680,Cr350,450
604345,-7010,M12/NGC6218,160
277068,-53316,M46/NGC2437,200
182300,85572,NGC1746,400
315790,-190566,NGC2669,140
788202,225372,NGC7160,50
85250,205668,NGC884/Chi_Persei_Cluster,180
385320,-212940,Bochum10,200
278700,-85884,M93/NGC2447,100
156562,180919,NGC1545,120
331226,-233505,NGC2808,140
725520,127740,Biur2,130
381300,-216420,Bochum9,160
679380,-72720,Cr394,220
773983,43803,M15/NGC7078,180
649508,-82772,M20/NGC6514/Trifid_Nebula,200
493312,102154,M3/NGC5272,180
707994,-111462,M55/NGC6809,190
295440,-135420,NGC2546,700
521840,-218559,NGC5617,100
652822,-157360,NGC6541,150
740723,101809,NGC6940,250
422280,-225120,Stock14,40
653880,-85800,Cr367,370
228900,8400,Cr91,170
518640,-220860,Lynga2,120
197230,129078,M38/NGC1912,150
612726,-108402,M62/NGC6266,150
153190,184362,NGC1528,180
171422,68829,NGC1647,400
173070,39348,NGC1662,120
47730,209862,NGC457,200
609306,-142081,NGC6242,90
801085,179631,NGC7243,300
91680,221262,IC1805,200
102780,217470,IC1848,180
622273,155293,M92/NGC6341,140
17980,216762,NGC129,120
260500,-92484,NGC2354,180
290981,-101326,NGC2527/NGC2520,100
294369,-46154,NGC2539,150
